Execução,Quantidade,Árvore AVL,Árvore Rubro-Negra,Árvore B (ordem 1),Árvore B (ordem 5),Árvore B (ordem 10)
0,1000,1.182 ms,1.122 ms,1.111 ms,1.129 ms,0.997 ms
1,2000,2.141 ms,1.799 ms,1.615 ms,1.244 ms,1.258 ms
2,3000,1.680 ms,1.477 ms,1.988 ms,2.795 ms,2.285 ms
3,4000,2.064 ms,1.758 ms,2.396 ms,2.149 ms,3.138 ms
4,5000,2.451 ms,1.997 ms,2.851 ms,3.469 ms,3.473 ms
5,6000,2.926 ms,1.989 ms,4.309 ms,3.678 ms,2.496 ms
6,7000,4.421 ms,3.389 ms,3.624 ms,2.827 ms,2.815 ms
7,8000,3.612 ms,2.729 ms,5.641 ms,4.334 ms,3.253 ms
8,9000,4.601 ms,2.955 ms,9.300 ms,4.737 ms,3.326 ms
9,10000,4.237 ms,3.220 ms,5.276 ms,4.665 ms,3.775 ms
